Rank,Title,Channel,Channel Profile Picture,Views,Likes,Category,Trending Date,Video URL,Country
#11,These guys are so close to real Power Armor 😰 #fallout #powerarmor #engineering,Hacksmith Industries,https://yt3.ggpht.com/XR_KbXvA6WHYHJQToJoKGGAG0Rj2BakhmWUx8xej3vObf-y1635Y-H4S8Hqlz44WQhMMCyNw1r4=s88-c-k-c0x00ffffff-no-rj,8221689,303220,Science & Technology,2025-02-08,https://www.youtube.com/watch?v=g3uy5pbf3jo,New Zealand
#12,This is how you teach 👏🧪 #shorts,MaxPreps,https://yt3.ggpht.com/8VsD8Flk8mGb3GLuSLK9iIZyPStY274u9VsqYM-WDIur6tFh25IuE-BrpNEVJmZr2B3_lE5HPw=s88-c-k-c0x00ffffff-no-rj,5774183,282148,Sports,2025-02-08,https://www.youtube.com/watch?v=Ue9najnYY_w,New Zealand
#13,Which button would you press? #shorts,AreYouKiddingTV,https://yt3.ggpht.com/XHWtyc1ipQHp5cLGCdE5dqxg6dw9HFUle_oMwJwNVQcLUFI8s7W-7Z2TLu2HBmqRGmAz1nglE5w=s88-c-k-c0x00ffffff-no-rj,14311872,1525431,Comedy,2025-02-08,https://www.youtube.com/watch?v=VC3sEyWeGEA,New Zealand
#14,The Fantastic Four: First Steps | Official Teaser | Only in Theaters July 25,Marvel Entertainment,https://yt3.ggpht.com/k7BhK-hm9_MbJbaKznHPhir6e4pWXbm1ppAHoseLIzRgoAPBMmH1IIhYKlXbGono25RD1OQwHQ=s88-c-k-c0x00ffffff-no-rj,24076628,812545,Entertainment,2025-02-08,https://www.youtube.com/watch?v=AzMo-FgRp64,New Zealand
#15,The worst muggers ever - Running Scared (1986),Amazon MGM Studios,https://yt3.ggpht.com/gbgXJkk-7J69aBTaDN4wHvm9cqe6TuI77ZtnQfXlKexL17Kn2AhomvckJgHwl1bo86R8j72A0A=s88-c-k-c0x00ffffff-no-rj,3732565,81285,Entertainment,2025-02-08,https://www.youtube.com/watch?v=BVMHmmjYgdQ,New Zealand
#16,Furious passengers catch pickpocket on subway train,Daily Mail,https://yt3.ggpht.com/7zj6kbnbf9WDnuVgoHgIXNdvHS4Fkk3WSoUaoiSI8fJQAMpXofJFN8pCVgLcAOTur9TQoYVw=s88-c-k-c0x00ffffff-no-rj,6093931,223930,News & Politics,2025-02-08,https://www.youtube.com/watch?v=DIhnOeLqYY0,New Zealand
#17,Lady Gaga - Abracadabra (Official Music Video),LadyGagaVEVO,https://yt3.ggpht.com/PhFThrqp58joMS9FOd7I2jPZ1TepvCKDsdnuwmFXPl-Tq0kZjw3GNtCNtsxt3dgH8bqW7RdK=s88-c-k-c0x00ffffff-no-rj,20934464,1321185,Music,2025-02-08,https://www.youtube.com/watch?v=vBynw9Isr28,New Zealand
#18,Rude Driver Steals Parking Spot and Instantly Regrets It #shorts,I migliori trucchetti di Fabiosa,https://yt3.ggpht.com/Wq8MrsEY1ELyvtOoQ-hR6JE-HcRkfhTckcDoINrUu10ZmQafyV1Qvs9V9dh8icHthpP1zKKOYw=s88-c-k-c0x00ffffff-no-rj,13577020,215191,People & Blogs,2025-02-08,https://www.youtube.com/watch?v=kmM-0Ufbe_U,New Zealand
#19,I Got Diabetes…💔 (Giant Chocolates ASMR),Spizee,https://yt3.ggpht.com/PVc-E37XAZ6U5UQKj81l0_ZARKU7936YPVUrCkgsn4ES2P8vmgUAQ50pA9OHlSTKVgfECO5NBXo=s88-c-k-c0x00ffffff-no-rj,18603420,448030,Entertainment,2025-02-08,https://www.youtube.com/watch?v=uM2cKVU6WzY,New Zealand
#20,Just some elite level tasking... #Taskmaster,Taskmaster,https://yt3.ggpht.com/ytc/AIdro_mhOB7FGTyEo07PyrTSCDJGAHOqiw1GbmHYoWO_ZCvkIA=s88-c-k-c0x00ffffff-no-rj,3330643,162703,Comedy,2025-02-08,https://www.youtube.com/watch?v=HNaPjcUA7eM,New Zealand
